budget_ns,cpu_queue_depth,gpu_queue_depth,gpu_jobs,cpu_jobs,pressure_target,pressure_gpu_wait_ns
0,0,0,0,3,CPU,25001
0,0,1,0,3,CPU,25001
0,0,2,0,3,CPU,25001
0,0,4,0,3,CPU,25001
0,1,0,0,3,CPU,25001
0,1,1,0,3,CPU,25001
0,1,2,0,3,CPU,25001
0,1,4,0,3,CPU,25001
0,2,0,0,3,CPU,25001
0,2,1,0,3,CPU,25001
0,2,2,0,3,CPU,25001
0,2,4,0,3,CPU,25001
0,4,0,0,3,CPU,25001
0,4,1,0,3,CPU,25001
0,4,2,0,3,CPU,25001
0,4,4,0,3,CPU,25001
65536,0,0,2,1,CPU,25001
65536,0,1,2,1,CPU,25001
65536,0,2,2,1,CPU,25001
65536,0,4,2,1,CPU,25001
65536,1,0,2,1,CPU,25001
65536,1,1,2,1,CPU,25001
65536,1,2,2,1,CPU,25001
65536,1,4,2,1,CPU,25001
65536,2,0,2,1,CPU,25001
65536,2,1,2,1,CPU,25001
65536,2,2,2,1,CPU,25001
65536,2,4,2,1,CPU,25001
65536,4,0,2,1,CPU,25001
65536,4,1,2,1,CPU,25001
65536,4,2,2,1,CPU,25001
65536,4,4,2,1,CPU,25001
131072,0,0,2,1,CPU,25001
131072,0,1,2,1,CPU,25001
131072,0,2,2,1,CPU,25001
131072,0,4,2,1,CPU,25001
131072,1,0,2,1,CPU,25001
131072,1,1,2,1,CPU,25001
131072,1,2,2,1,CPU,25001
131072,1,4,2,1,CPU,25001
131072,2,0,2,1,CPU,25001
131072,2,1,2,1,CPU,25001
131072,2,2,2,1,CPU,25001
131072,2,4,2,1,CPU,25001
131072,4,0,2,1,CPU,25001
131072,4,1,2,1,CPU,25001
131072,4,2,2,1,CPU,25001
131072,4,4,2,1,CPU,25001
2000000,0,0,2,1,CPU,25001
2000000,0,1,2,1,CPU,25001
2000000,0,2,2,1,CPU,25001
2000000,0,4,2,1,CPU,25001
2000000,1,0,2,1,CPU,25001
2000000,1,1,2,1,CPU,25001
2000000,1,2,2,1,CPU,25001
2000000,1,4,2,1,CPU,25001
2000000,2,0,2,1,CPU,25001
2000000,2,1,2,1,CPU,25001
2000000,2,2,2,1,CPU,25001
2000000,2,4,2,1,CPU,25001
2000000,4,0,2,1,CPU,25001
2000000,4,1,2,1,CPU,25001
2000000,4,2,2,1,CPU,25001
2000000,4,4,2,1,CPU,25001
