tier,size,samples_ms,median_ms,p95_ms,p99_ms,mean_ms,stdev_ms,daemon_env
plaintext_fuse,4096,"[1.481796, 0.901157, 0.92687, 0.860222, 0.927111, 0.932055, 0.914092, 0.930426, 0.827176, 0.857157, 0.833888, 0.890537]",0.9076245000000001,1.17943845,1.4213244899999997,0.9402072499999999,0.17474105331298598,{'PQC_EXECUTION_MODE': 'adaptive'}
plaintext_fuse,16384,"[0.859194, 0.874287, 0.832018, 0.927537, 0.827398, 0.885351, 0.828528, 0.90401, 0.831139, 0.882435, 0.823158, 0.915898]",0.8667405,0.92113555,0.92625671,0.86591275,0.03763535058504292,{'PQC_EXECUTION_MODE': 'adaptive'}
plaintext_fuse,131072,"[0.992944, 1.06163, 1.027648, 1.024509, 0.992713, 1.01087, 1.016278, 1.164278, 0.991343, 1.026657, 0.948343, 1.047324]",1.0203935,1.1078215999999999,1.15298672,1.0253780833333332,0.05274433999528173,{'PQC_EXECUTION_MODE': 'adaptive'}
plaintext_fuse,524288,"[1.486176, 1.496519, 1.415963, 1.502268, 1.396213, 1.42713, 1.399491, 1.481037, 1.401407, 1.507954, 1.398009, 1.493639]",1.4540834999999999,1.5048267,1.50732854,1.4504838333333332,0.04730777110837522,{'PQC_EXECUTION_MODE': 'adaptive'}
cpu_only,4096,"[2.399398, 1.42262, 1.263278, 1.235195, 1.194287, 1.348695, 1.265083, 1.306112, 1.439352, 1.332102, 1.201546, 1.220852]",1.2855975,1.8713727000000002,2.2937929400000003,1.3857100000000002,0.32922988377396456,{'PQC_EXECUTION_MODE': 'cpu'}
cpu_only,16384,"[1.386593, 1.318889, 1.310324, 1.281399, 1.431843, 1.309223, 1.327593, 1.287148, 1.289343, 1.516528, 1.355611, 1.387889]",1.323241,1.46995125,1.5072126499999998,1.3501985833333334,0.07024511948683482,{'PQC_EXECUTION_MODE': 'cpu'}
cpu_only,131072,"[1.641547, 1.599361, 1.678926, 1.592407, 1.548546, 1.617167, 1.581972, 1.710806, 1.533352, 1.602602, 1.641602, 1.710565]",1.6098845000000002,1.7106734500000003,1.7107794900000002,1.6215710833333334,0.05750814913235155,{'PQC_EXECUTION_MODE': 'cpu'}
cpu_only,524288,"[3.61137, 3.257926, 3.173157, 3.158268, 3.257704, 3.279056, 3.099963, 3.140935, 3.073685, 3.155963, 3.124157, 3.056241]",3.1571154999999997,3.4285973,3.57481546,3.1990354166666664,0.1484528898236489,{'PQC_EXECUTION_MODE': 'cpu'}
gpu_only,4096,"[2.470092, 1.372269, 1.234444, 1.231926, 1.220342, 1.239842, 1.229685, 1.217259, 1.202444, 1.310278, 1.215768, 1.282667]",1.2331850000000002,1.8662893500000002,2.34933147,1.3522513333333332,0.3553845881938284,"{'PQC_EXECUTION_MODE': 'gpu', 'PQC_GPU_MIN_BYTES': '4096'}"
gpu_only,16384,"[1.323611, 1.383315, 1.237593, 1.272361, 1.386379, 1.273694, 1.315787, 1.281602, 1.301593, 1.416537, 1.361658, 1.245722]",1.30869,1.3999500999999999,1.4132196199999998,1.3166543333333334,0.05869899178835781,"{'PQC_EXECUTION_MODE': 'gpu', 'PQC_GPU_MIN_BYTES': '4096'}"
gpu_only,131072,"[1.632482, 3.286907, 1.678259, 1.584371, 1.615268, 1.619324, 1.754351, 1.859306, 1.629463, 1.707305, 1.647768, 1.720352]",1.6630135,2.5017264499999996,3.12987089,1.811263,0.47081298742668126,"{'PQC_EXECUTION_MODE': 'gpu', 'PQC_GPU_MIN_BYTES': '4096'}"
gpu_only,524288,"[3.340084, 3.173667, 2.993426, 3.019629, 3.133509, 3.079408, 3.299028, 2.986379, 3.178694, 3.129565, 3.289916, 3.184842]",3.153588,3.3175032,3.33556784,3.1506789166666667,0.11850058871312015,"{'PQC_EXECUTION_MODE': 'gpu', 'PQC_GPU_MIN_BYTES': '4096'}"
adaptive,4096,"[2.64499, 1.341935, 1.245796, 1.361009, 1.274287, 1.231241, 1.256732, 1.238741, 1.223481, 1.241296, 1.220732, 1.210436]",1.2435459999999998,1.93880045,2.5037520900000003,1.374223,0.4029356318463962,{'PQC_EXECUTION_MODE': 'adaptive'}
adaptive,16384,"[1.453389, 1.241732, 1.312907, 1.35112, 1.269908, 1.223852, 1.385546, 1.337852, 1.263944, 1.206991, 1.216574, 1.214296]",1.266926,1.4160753499999998,1.44592627,1.2898425833333333,0.07872612684658857,{'PQC_EXECUTION_MODE': 'adaptive'}
adaptive,131072,"[1.689408, 1.633361, 1.605463, 1.552889, 1.557278, 1.563778, 1.677778, 1.750741, 1.763592, 1.673916, 1.605231, 1.533203]",1.619412,1.75652395,1.7621783899999999,1.6338865,0.0775775787143542,{'PQC_EXECUTION_MODE': 'adaptive'}
adaptive,524288,"[3.151546, 3.119565, 3.124325, 3.034629, 3.196268, 2.999037, 3.081037, 3.002546, 3.151204, 2.999602, 3.032314, 3.025667]",3.0578329999999996,3.1716709,3.19134858,3.0764783333333336,0.06966932098829225,{'PQC_EXECUTION_MODE': 'adaptive'}
