operation,target,batch,bytes,status,p50_us,p99_us,throughput_per_s
aes_gcm,cpu,1,4096,measured,2.676,2.787,1519569653.126
aes_gcm,gpu,1,4096,measured,5545.175,5549.491,738080.090
aes_gcm,cpu,4,16384,measured,10.157,10.269,1607515606.412
aes_gcm,gpu,4,16384,measured,6182.639,6189.482,2649542.371
aes_gcm,cpu,16,65536,measured,40.463,40.500,1621836989.742
aes_gcm,gpu,16,65536,measured,7151.990,7169.018,9229679.773
aes_gcm,cpu,64,262144,measured,160.870,160.972,1629901591.234
aes_gcm,gpu,64,262144,measured,7718.167,7723.806,33744556.389
aes_gcm,cpu,256,1048576,measured,645.167,649.769,1618991392.060
aes_gcm,gpu,256,1048576,measured,12217.074,12629.221,84771354.889
aes_gcm,cpu,1024,4194304,measured,2582.815,2596.000,1621507110.421
aes_gcm,gpu,1024,4194304,measured,29550.019,29563.130,142672431.215
aes_gcm,cpu,4096,16777216,measured,10408.473,10487.917,1609936530.458
aes_gcm,gpu,4096,16777216,measured,100565.807,100607.478,166841275.775
ml_kem_keygen,cpu,1,0,measured,15.592,16.000,63029.845
ml_kem_encaps,cpu,1,0,measured,16.630,16.658,60149.170
ml_kem_decaps,cpu,1,0,measured,18.917,18.935,52906.787
ml_kem_keygen,gpu,1,0,measured,96.0,96.0,10409.6
ml_kem_encaps,gpu,1,0,measured,97.0,97.0,10341.8
ml_kem_decaps,gpu,1,0,measured,100.0,100.0,9996.3
ml_dsa_sign,cpu,1,0,measured,221.158,325.056,4476.526
ml_dsa_verify,cpu,1,0,measured,56.722,56.760,17626.840
ml_dsa_sign,gpu,1,0,unsupported,,,,
ml_dsa_verify,gpu,1,0,unsupported,,,,
ml_kem_keygen,cpu,16,0,measured,247.657,247.815,64705.375
ml_kem_encaps,cpu,16,0,measured,264.556,264.648,60488.330
ml_kem_decaps,cpu,16,0,measured,301.222,301.398,53124.289
ml_kem_keygen,gpu,16,0,measured,105.0,105.0,152395.5
ml_kem_encaps,gpu,16,0,measured,106.0,106.0,150785.5
ml_kem_decaps,gpu,16,0,measured,109.0,109.0,147176.5
ml_dsa_sign,cpu,16,0,measured,2702.602,2748.009,6023.278
ml_dsa_verify,cpu,16,0,measured,905.888,906.315,17657.101
ml_dsa_sign,gpu,16,0,unsupported,,,,
ml_dsa_verify,gpu,16,0,unsupported,,,,
